"Value","Date"
"10.58","2013-8-15"
"10.61","2013-8-14"
"10.61","2013-8-13"
"10.66","2013-8-12"
"10.67","2013-8-09"
"10.67","2013-8-08"
"10.66","2013-8-07"
"10.65","2013-8-06"
"10.65","2013-8-05"
"10.67","2013-8-02"
"10.62","2013-8-01"
"10.67","2013-7-31"
"10.66","2013-7-30"
"10.67","2013-7-29"
"10.68","2013-7-26"
"10.67","2013-7-25"
"10.67","2013-7-24"
"10.7","2013-7-23"
"10.71","2013-7-22"
"10.7","2013-7-19"
"10.67","2013-7-18"
"10.69","2013-7-17"
"10.67","2013-7-16"
"10.66","2013-7-15"
"10.64","2013-7-12"
"10.64","2013-7-11"
"10.59","2013-7-10"
"10.61","2013-7-09"
"10.6","2013-7-08"
"10.56","2013-7-05"
"10.67","2013-7-03"
"10.68","2013-7-02"
"10.68","2013-7-01"
"10.67","2013-6-28"
"10.66","2013-6-27"
"10.62","2013-6-26"
"10.59","2013-6-25"
"10.6","2013-6-24"
"10.63","2013-6-21"
"10.7","2013-6-20"
"10.76","2013-6-19"
"10.82","2013-6-18"
"10.83","2013-6-17"
"10.84","2013-6-14"
"10.83","2013-6-13"
"10.79","2013-6-12"
"10.82","2013-6-11"
"10.81","2013-6-10"
"10.83","2013-6-07"
"10.87","2013-6-06"
"10.87","2013-6-05"
"10.85","2013-6-04"
"10.87","2013-6-03"
"10.87","2013-5-31"
"10.88","2013-5-30"
"10.89","2013-5-29"
"10.87","2013-5-28"
"10.94","2013-5-24"
"10.94","2013-5-23"
"10.94","2013-5-22"
"10.98","2013-5-21"
"10.96","2013-5-20"
"10.97","2013-5-17"
"11","2013-5-16"
"10.98","2013-5-15"
"10.97","2013-5-14"
"10.99","2013-5-13"
"11","2013-5-10"
"11.03","2013-5-09"
"11.04","2013-5-08"
"11.04","2013-5-07"
"11.05","2013-5-06"
"11.05","2013-5-03"
"11.1","2013-5-02"
"11.11","2013-5-01"
"11.08","2013-4-30"
"11.09","2013-4-29"
"11.09","2013-4-26"
"11.07","2013-4-25"
"11.07","2013-4-24"
"11.07","2013-4-23"
"11.08","2013-4-22"
"11.07","2013-4-19"
"11.08","2013-4-18"
"11.07","2013-4-17"
"11.07","2013-4-16"
"11.08","2013-4-15"
"11.07","2013-4-12"
"11.04","2013-4-11"
"11.03","2013-4-10"
"11.06","2013-4-09"
"11.06","2013-4-08"
"11.08","2013-4-05"
"11.05","2013-4-04"
"11.02","2013-4-03"
"11","2013-4-02"
"11.01","2013-4-01"
"11","2013-3-28"
"11.02","2013-3-27"
"11","2013-3-26"
"11","2013-3-25"
"11","2013-3-22"
"11","2013-3-21"
"10.99","2013-3-20"
"11.01","2013-3-19"
"11","2013-3-18"
"10.98","2013-3-15"
"10.97","2013-3-14"
"10.97","2013-3-13"
"10.97","2013-3-12"
"10.96","2013-3-11"
"10.95","2013-3-08"
"10.98","2013-3-07"
"11.01","2013-3-06"
"11.03","2013-3-05"
"11.03","2013-3-04"
"11.04","2013-3-01"
"11.03","2013-2-28"
"11.02","2013-2-27"
"11.03","2013-2-26"
"11.04","2013-2-25"
"10.99","2013-2-22"
"10.99","2013-2-21"
"10.98","2013-2-20"
"10.98","2013-2-19"
"10.99","2013-2-15"
"10.99","2013-2-14"
"10.97","2013-2-13"
"10.99","2013-2-12"
"11","2013-2-11"
"11","2013-2-08"
"11","2013-2-07"
"11","2013-2-06"
"10.99","2013-2-05"
"11","2013-2-04"
"10.98","2013-2-01"
"10.99","2013-1-31"
"10.99","2013-1-30"
"10.99","2013-1-29"
"11","2013-1-28"
"11.01","2013-1-25"
"11.05","2013-1-24"
"11.06","2013-1-23"
"11.06","2013-1-22"
"11.05","2013-1-18"
"11.04","2013-1-17"
"11.07","2013-1-16"
"11.06","2013-1-15"
"11.06","2013-1-14"
"11.06","2013-1-11"
"11.04","2013-1-10"
"11.05","2013-1-09"
"11.06","2013-1-08"
"11.05","2013-1-07"
"11.04","2013-1-04"
"11.04","2013-1-03"
"11.06","2013-1-02"
"11.09","2012-12-31"
"11.11","2012-12-28"
"11.1","2012-12-27"
"11.09","2012-12-26"
"11.08","2012-12-24"
"11.08","2012-12-21"
"11.12","2012-12-20"
"11.12","2012-12-19"
"11.11","2012-12-18"
"11.13","2012-12-17"
"11.16","2012-12-14"
"11.15","2012-12-13"
"11.16","2012-12-12"
"11.18","2012-12-11"
"11.19","2012-12-10"
"11.19","2012-12-07"
"11.2","2012-12-06"
"11.2","2012-12-05"
"11.2","2012-12-04"
"11.19","2012-12-03"
"11.19","2012-11-30"
"11.19","2012-11-29"
"11.18","2012-11-28"
"11.18","2012-11-27"
"11.17","2012-11-26"
"11.16","2012-11-23"
"11.17","2012-11-21"
"11.17","2012-11-20"
"11.19","2012-11-19"
"11.21","2012-11-16"
"11.21","2012-11-15"
"11.21","2012-11-14"
"11.22","2012-11-13"
"11.21","2012-11-12"
"11.21","2012-11-09"
"11.22","2012-11-08"
"11.2","2012-11-07"
"11.16","2012-11-06"
"11.19","2012-11-05"
"11.18","2012-11-02"
"11.18","2012-11-01"
"11.19","2012-10-31"
"11.17","2012-10-30"
"11.17","2012-10-29"
"11.17","2012-10-26"
"11.14","2012-10-25"
"11.16","2012-10-24"
"11.18","2012-10-23"
"11.15","2012-10-22"
"11.17","2012-10-19"
"11.14","2012-10-18"
"11.15","2012-10-17"
"11.18","2012-10-16"
"11.2","2012-10-15"
"11.2","2012-10-12"
"11.19","2012-10-11"
"11.18","2012-10-10"
"11.17","2012-10-09"
"11.17","2012-10-08"
"11.17","2012-10-05"
"11.19","2012-10-04"
"11.21","2012-10-03"
"11.21","2012-10-02"
"11.21","2012-10-01"
"11.2","2012-9-28"
"11.2","2012-9-27"
"11.21","2012-9-26"
"11.2","2012-9-25"
"11.18","2012-9-24"
"11.16","2012-9-21"
"11.15","2012-9-20"
"11.15","2012-9-19"
"11.14","2012-9-18"
"11.13","2012-9-17"
"11.11","2012-9-14"
"11.15","2012-9-13"
"11.14","2012-9-12"
"11.15","2012-9-11"
"11.17","2012-9-10"
"11.17","2012-9-07"
"11.17","2012-9-06"
"11.2","2012-9-05"
"11.21","2012-9-04"
"11.21","2012-8-31"
"11.18","2012-8-30"
"11.16","2012-8-29"
"11.17","2012-8-28"
"11.17","2012-8-27"
"11.15","2012-8-24"
"11.16","2012-8-23"
"11.15","2012-8-22"
"11.1","2012-8-21"
"11.1","2012-8-20"
"11.09","2012-8-17"
"11.08","2012-8-16"
"11.1","2012-8-15"
"11.13","2012-8-14"
"11.16","2012-8-13"
"11.16","2012-8-10"
"11.15","2012-8-09"
"11.16","2012-8-08"
"11.17","2012-8-07"
"11.2","2012-8-06"
"11.19","2012-8-03"
"11.22","2012-8-02"
"11.21","2012-8-01"
"11.23","2012-7-31"
"11.21","2012-7-30"
"11.19","2012-7-27"
"11.23","2012-7-26"
"11.25","2012-7-25"
"11.24","2012-7-24"
"11.23","2012-7-23"
"11.22","2012-7-20"
"11.2","2012-7-19"
"11.2","2012-7-18"
"11.19","2012-7-17"
"11.2","2012-7-16"
"11.18","2012-7-13"
"11.19","2012-7-12"
"11.17","2012-7-11"
"11.17","2012-7-10"
"11.17","2012-7-09"
"11.15","2012-7-06"
"11.13","2012-7-05"
"11.12","2012-7-03"
"11.13","2012-7-02"
"11.1","2012-6-29"
"11.12","2012-6-28"
"11.11","2012-6-27"
"11.1","2012-6-26"
"11.11","2012-6-25"
"11.08","2012-6-22"
"11.11","2012-6-21"
"11.09","2012-6-20"
"11.1","2012-6-19"
"11.12","2012-6-18"
"11.11","2012-6-15"
"11.09","2012-6-14"
"11.1","2012-6-13"
"11.08","2012-6-12"
"11.1","2012-6-11"
"11.08","2012-6-08"
"11.09","2012-6-07"
"11.07","2012-6-06"
"11.11","2012-6-05"
"11.13","2012-6-04"
"11.16","2012-6-01"
"11.12","2012-5-31"
"11.1","2012-5-30"
"11.05","2012-5-29"
"11.06","2012-5-25"
"11.05","2012-5-24"
"11.06","2012-5-23"
"11.06","2012-5-22"
"11.07","2012-5-21"
"11.09","2012-5-18"
"11.1","2012-5-17"
"11.08","2012-5-16"
"11.08","2012-5-15"
"11.09","2012-5-14"
"11.07","2012-5-11"
"11.06","2012-5-10"
"11.07","2012-5-09"
"11.07","2012-5-08"
"11.07","2012-5-07"
"11.07","2012-5-04"
"11.05","2012-5-03"
"11.04","2012-5-02"
"11.03","2012-5-01"
"11.04","2012-4-30"
"11.03","2012-4-27"
"11.03","2012-4-26"
"11.02","2012-4-25"
"11.02","2012-4-24"
"11.04","2012-4-23"
"11.03","2012-4-20"
"11.03","2012-4-19"
"11.02","2012-4-18"
"11.02","2012-4-17"
"11.02","2012-4-16"
"11.02","2012-4-13"
"10.99","2012-4-12"
"11","2012-4-11"
"11.02","2012-4-10"
"11.01","2012-4-09"
"10.95","2012-4-05"
"10.93","2012-4-04"
"10.91","2012-4-03"
"10.95","2012-4-02"
"10.94","2012-3-30"
"10.98","2012-3-29"
"10.96","2012-3-28"
"10.97","2012-3-27"
"10.94","2012-3-26"
"10.95","2012-3-23"
"10.93","2012-3-22"
"10.92","2012-3-21"
"10.89","2012-3-20"
"10.89","2012-3-19"
"10.92","2012-3-16"
"10.92","2012-3-15"
"10.91","2012-3-14"
"10.97","2012-3-13"
"11.01","2012-3-12"
"11.01","2012-3-09"
"11.01","2012-3-08"
"11.03","2012-3-07"
"11.05","2012-3-06"
"11.03","2012-3-05"
"11.05","2012-3-02"
"11.02","2012-3-01"
"11.04","2012-2-29"
"11.05","2012-2-28"
"11.05","2012-2-27"
"11.03","2012-2-24"
"11.02","2012-2-23"
"11.02","2012-2-22"
"10.99","2012-2-21"
"11.01","2012-2-17"
"11.02","2012-2-16"
"11.04","2012-2-15"
"11.04","2012-2-14"
"11.03","2012-2-13"
"11.03","2012-2-10"
"11.01","2012-2-09"
"11.02","2012-2-08"
"11.02","2012-2-07"
"11.05","2012-2-06"
"11.03","2012-2-03"
"11.07","2012-2-02"
"11.06","2012-2-01"
"11.07","2012-1-31"
"11.05","2012-1-30"
"11.03","2012-1-27"
"11.02","2012-1-26"
"10.98","2012-1-25"
"10.96","2012-1-24"
"10.96","2012-1-23"
"10.97","2012-1-20"
"10.99","2012-1-19"
"11.01","2012-1-18"
"11.04","2012-1-17"
"11.03","2012-1-13"
"11.01","2012-1-12"
"11.01","2012-1-11"
"10.98","2012-1-10"
"10.99","2012-1-09"
"10.98","2012-1-06"
"10.96","2012-1-05"
"10.97","2012-1-04"
"10.98","2012-1-03"
"11","2011-12-30"
"10.99","2011-12-29"
"10.98","2011-12-28"
"10.94","2011-12-27"
"10.93","2011-12-23"
"10.96","2011-12-22"
"11","2011-12-21"
"11.03","2011-12-20"
"11.08","2011-12-19"
"11.06","2011-12-16"
"11.04","2011-12-15"
"11.05","2011-12-14"
"11.02","2011-12-13"
"11","2011-12-12"
"10.98","2011-12-09"
"11.02","2011-12-08"
"11","2011-12-07"
"10.98","2011-12-06"
"10.99","2011-12-05"
"10.99","2011-12-02"
"10.95","2011-12-01"
"10.96","2011-11-30"
"10.98","2011-11-29"
"11","2011-11-28"
"10.99","2011-11-25"
"11.03","2011-11-23"
"11.02","2011-11-22"
"11.01","2011-11-21"
"11","2011-11-18"
"11.02","2011-11-17"
"11.02","2011-11-16"
"11","2011-11-15"
"11.01","2011-11-14"
"10.99","2011-11-11"
"11.01","2011-11-10"
"11.04","2011-11-09"
"11.01","2011-11-08"
"11.05","2011-11-07"
"11.04","2011-11-04"
"11.03","2011-11-03"
"11.06","2011-11-02"
"11.08","2011-11-01"
"11.02","2011-10-31"
"10.94","2011-10-28"
"10.9","2011-10-27"
"10.95","2011-10-26"
"10.98","2011-10-25"
"10.92","2011-10-24"
"10.92","2011-10-21"
"10.93","2011-10-20"
"10.94","2011-10-19"
"10.93","2011-10-18"
"10.94","2011-10-17"
"10.9","2011-10-14"
"10.92","2011-10-13"
"10.9","2011-10-12"
"10.91","2011-10-11"
"10.9","2011-10-10"
"10.94","2011-10-07"
"10.96","2011-10-06"
"11.01","2011-10-05"
"11.03","2011-10-04"
"11.07","2011-10-03"
"11.03","2011-9-30"
"10.99","2011-9-29"
"10.99","2011-9-28"
"10.99","2011-9-27"
"11.03","2011-9-26"
"11.07","2011-9-23"
"11.12","2011-9-22"
"11.08","2011-9-21"
"11.04","2011-9-20"
"11.04","2011-9-19"
"11","2011-9-16"
"10.99","2011-9-15"
"11.02","2011-9-14"
"11.02","2011-9-13"
"11.04","2011-9-12"
"11.06","2011-9-09"
"11.04","2011-9-08"
"11.02","2011-9-07"
"11.06","2011-9-06"
"11.05","2011-9-02"
"11","2011-9-01"
"10.96","2011-8-31"
"10.97","2011-8-30"
"10.93","2011-8-29"
"10.96","2011-8-26"
"10.94","2011-8-25"
"10.92","2011-8-24"
"10.99","2011-8-23"
"11.03","2011-8-22"
"11.04","2011-8-19"
"11.05","2011-8-18"
"11.03","2011-8-17"
"11","2011-8-16"
"10.97","2011-8-15"
"10.99","2011-8-12"
"10.95","2011-8-11"
"11.06","2011-8-10"
"10.99","2011-8-09"
"10.96","2011-8-08"
"10.91","2011-8-05"
"10.99","2011-8-04"
"10.92","2011-8-03"
"10.92","2011-8-02"
"10.86","2011-8-01"
"10.83","2011-7-29"
"10.77","2011-7-28"
"10.75","2011-7-27"
"10.77","2011-7-26"
"10.75","2011-7-25"
"10.77","2011-7-22"
"10.75","2011-7-21"
"10.77","2011-7-20"
"10.79","2011-7-19"
"10.77","2011-7-18"
"10.78","2011-7-15"
"10.77","2011-7-14"
"10.8","2011-7-13"
"10.79","2011-7-12"
"10.79","2011-7-11"
"10.75","2011-7-08"
"10.7","2011-7-07"
"10.72","2011-7-06"
"10.71","2011-7-05"
"10.68","2011-7-01"
"10.69","2011-6-30"
"10.7","2011-6-29"
"10.72","2011-6-28"
"10.77","2011-6-27"
"10.8","2011-6-24"
"10.79","2011-6-23"
"10.77","2011-6-22"
"10.76","2011-6-21"
"10.77","2011-6-20"
"10.77","2011-6-17"
"10.78","2011-6-16"
"10.77","2011-6-15"
"10.72","2011-6-14"
"10.77","2011-6-13"
"10.78","2011-6-10"
"10.77","2011-6-09"
"10.8","2011-6-08"
"10.79","2011-6-07"
"10.77","2011-6-06"
"10.78","2011-6-03"
"10.76","2011-6-02"
"10.8","2011-6-01"
"10.76","2011-5-31"
"10.75","2011-5-27"
"10.76","2011-5-26"
"10.73","2011-5-25"
"10.73","2011-5-24"
"10.73","2011-5-23"
"10.72","2011-5-20"
"10.71","2011-5-19"
"10.71","2011-5-18"
"10.74","2011-5-17"
"10.72","2011-5-16"
"10.71","2011-5-13"
"10.69","2011-5-12"
"10.7","2011-5-11"
"10.68","2011-5-10"
"10.71","2011-5-09"
"10.71","2011-5-06"
"10.71","2011-5-05"
"10.68","2011-5-04"
"10.67","2011-5-03"
"10.65","2011-5-02"
"10.65","2011-4-29"
"10.64","2011-4-28"
"10.62","2011-4-27"
"10.63","2011-4-26"
"10.61","2011-4-25"
"10.59","2011-4-21"
"10.59","2011-4-20"
"10.61","2011-4-19"
"10.6","2011-4-18"
"10.58","2011-4-15"
"10.54","2011-4-14"
"10.55","2011-4-13"
"10.54","2011-4-12"
"10.5","2011-4-11"
"10.5","2011-4-08"
"10.51","2011-4-07"
"10.51","2011-4-06"
"10.53","2011-4-05"
"10.56","2011-4-04"
"10.54","2011-4-01"
"10.54","2011-3-31"
"10.55","2011-3-30"
"10.53","2011-3-29"
"10.55","2011-3-28"
"10.55","2011-3-25"
"10.57","2011-3-24"
"10.59","2011-3-23"
"10.59","2011-3-22"
"10.6","2011-3-21"
"10.63","2011-3-18"
"10.63","2011-3-17"
"10.65","2011-3-16"
"10.61","2011-3-15"
"10.6","2011-3-14"
"10.59","2011-3-11"
"10.6","2011-3-10"
"10.55","2011-3-09"
"10.52","2011-3-08"
"10.54","2011-3-07"
"10.55","2011-3-04"
"10.51","2011-3-03"
"10.55","2011-3-02"
"10.58","2011-3-01"
"10.57","2011-2-28"
"10.56","2011-2-25"
"10.55","2011-2-24"
"10.54","2011-2-23"
"10.54","2011-2-22"
"10.5","2011-2-18"
"10.5","2011-2-17"
"10.48","2011-2-16"
"10.48","2011-2-15"
"10.47","2011-2-14"
"10.46","2011-2-11"
"10.43","2011-2-10"
"10.46","2011-2-09"
"10.43","2011-2-08"
"10.47","2011-2-07"
"10.47","2011-2-04"
"10.51","2011-2-03"
"10.54","2011-2-02"
"10.55","2011-2-01"
"10.58","2011-1-31"
"10.6","2011-1-28"
"10.58","2011-1-27"
"10.56","2011-1-26"
"10.59","2011-1-25"
"10.56","2011-1-24"
"10.56","2011-1-21"
"10.55","2011-1-20"
"10.59","2011-1-19"
"10.58","2011-1-18"
"10.59","2011-1-14"
"10.6","2011-1-13"
"10.57","2011-1-12"
"10.58","2011-1-11"
"10.6","2011-1-10"
"10.59","2011-1-07"
"10.55","2011-1-06"
"10.53","2011-1-05"
"10.59","2011-1-04"
"10.58","2011-1-03"
"10.6","2010-12-31"
"10.56","2010-12-30"
"10.57","2010-12-29"
"10.5","2010-12-28"
"10.56","2010-12-27"
"10.55","2010-12-23"
"10.61","2010-12-22"
"10.63","2010-12-21"
"10.61","2010-12-20"
"10.61","2010-12-17"
"10.56","2010-12-16"
"10.54","2010-12-15"
"10.57","2010-12-14"
"10.62","2010-12-13"
"10.6","2010-12-10"
"10.63","2010-12-09"
"10.63","2010-12-08"
"10.68","2010-12-07"
"10.76","2010-12-06"
"10.72","2010-12-03"
"10.71","2010-12-02"
"10.72","2010-12-01"
"10.8","2010-11-30"
"10.79","2010-11-29"
"10.78","2010-11-26"
"10.76","2010-11-24"
"10.82","2010-11-23"
"10.81","2010-11-22"
"10.78","2010-11-19"
"10.77","2010-11-18"
"10.78","2010-11-17"
"10.78","2010-11-16"
"10.75","2010-11-15"
"10.81","2010-11-12"
"10.85","2010-11-11"
"10.85","2010-11-10"
"10.84","2010-11-09"
"10.9","2010-11-08"
"10.91","2010-11-05"
"10.94","2010-11-04"
"10.91","2010-11-03"
"10.91","2010-11-02"
"10.89","2010-11-01"
"10.89","2010-10-29"
"10.86","2010-10-28"
"10.84","2010-10-27"
"10.86","2010-10-26"
"10.89","2010-10-25"
"10.89","2010-10-22"
"10.89","2010-10-21"
"10.91","2010-10-20"
"10.91","2010-10-19"
"10.89","2010-10-18"
"10.86","2010-10-15"
"10.89","2010-10-14"
"10.92","2010-10-13"
"10.92","2010-10-12"
"10.93","2010-10-11"
"10.93","2010-10-08"
"10.93","2010-10-07"
"10.93","2010-10-06"
"10.9","2010-10-05"
"10.9","2010-10-04"
"10.88","2010-10-01"
"10.88","2010-9-30"
"10.88","2010-9-29"
"10.89","2010-9-28"
"10.88","2010-9-27"
"10.84","2010-9-24"
"10.87","2010-9-23"
"10.86","2010-9-22"
"10.85","2010-9-21"
"10.81","2010-9-20"
"10.8","2010-9-17"
"10.8","2010-9-16"
"10.81","2010-9-15"
"10.83","2010-9-14"
"10.8","2010-9-13"
"10.78","2010-9-10"
"10.79","2010-9-09"
"10.84","2010-9-08"
"10.86","2010-9-07"
"10.82","2010-9-03"
"10.85","2010-9-02"
"10.87","2010-9-01"
"10.91","2010-8-31"
"10.88","2010-8-30"
"10.84","2010-8-27"
"10.9","2010-8-26"
"10.88","2010-8-25"
"10.9","2010-8-24"
"10.87","2010-8-23"
"10.86","2010-8-20"
"10.88","2010-8-19"
"10.85","2010-8-18"
"10.86","2010-8-17"
"10.88","2010-8-16"
"10.84","2010-8-13"
"10.81","2010-8-12"
"10.84","2010-8-11"
"10.82","2010-8-10"
"10.8","2010-8-09"
"10.81","2010-8-06"
"10.78","2010-8-05"
"10.77","2010-8-04"
"10.79","2010-8-03"
"10.76","2010-8-02"
"10.78","2010-7-30"
"10.75","2010-7-29"
"10.74","2010-7-28"
"10.72","2010-7-27"
"10.73","2010-7-26"
"10.73","2010-7-23"
"10.75","2010-7-22"
"10.77","2010-7-21"
"10.73","2010-7-20"
"10.73","2010-7-19"
"10.74","2010-7-16"
"10.72","2010-7-15"
"10.69","2010-7-14"
"10.66","2010-7-13"
"10.68","2010-7-12"
"10.68","2010-7-09"
"10.69","2010-7-08"
"10.7","2010-7-07"
"10.72","2010-7-06"
"10.69","2010-7-02"
"10.71","2010-7-01"
"10.71","2010-6-30"
"10.71","2010-6-29"
"10.69","2010-6-28"
"10.66","2010-6-25"
"10.65","2010-6-24"
"10.66","2010-6-23"
"10.64","2010-6-22"
"10.61","2010-6-21"
"10.61","2010-6-18"
"10.62","2010-6-17"
"10.59","2010-6-16"
"10.57","2010-6-15"
"10.59","2010-6-14"
"10.6","2010-6-11"
"10.56","2010-6-10"
"10.61","2010-6-09"
"10.61","2010-6-08"
"10.63","2010-6-07"
"10.62","2010-6-04"
"10.55","2010-6-03"
"10.56","2010-6-02"
"10.58","2010-6-01"
"10.57","2010-5-28"
"10.55","2010-5-27"
"10.6","2010-5-26"
"10.61","2010-5-25"
"10.61","2010-5-24"
"10.62","2010-5-21"
"10.62","2010-5-20"
"10.59","2010-5-19"
"10.59","2010-5-18"
"10.56","2010-5-17"
"10.57","2010-5-14"
"10.53","2010-5-13"
"10.51","2010-5-12"
"10.52","2010-5-11"
"10.52","2010-5-10"
"10.55","2010-5-07"
"10.59","2010-5-06"
"10.54","2010-5-05"
"10.53","2010-5-04"
"10.49","2010-5-03"
"10.51","2010-4-30"
"10.48","2010-4-29"
"10.47","2010-4-28"
"10.5","2010-4-27"
"10.45","2010-4-26"
"10.44","2010-4-23"
"10.46","2010-4-22"
"10.47","2010-4-21"
"10.45","2010-4-20"
"10.45","2010-4-19"
"10.47","2010-4-16"
"10.44","2010-4-15"
"10.43","2010-4-14"
"10.44","2010-4-13"
"10.44","2010-4-12"
"10.41","2010-4-09"
"10.41","2010-4-08"
"10.41","2010-4-07"
"10.37","2010-4-06"
"10.36","2010-4-05"
"10.41","2010-4-01"
"10.43","2010-3-31"
"10.42","2010-3-30"
"10.42","2010-3-29"
"10.42","2010-3-26"
"10.41","2010-3-25"
"10.43","2010-3-24"
"10.48","2010-3-23"
"10.48","2010-3-22"
"10.47","2010-3-19"
"10.48","2010-3-18"
"10.49","2010-3-17"
"10.48","2010-3-16"
"10.46","2010-3-15"
"10.46","2010-3-12"
"10.45","2010-3-11"
"10.45","2010-3-10"
"10.46","2010-3-09"
"10.45","2010-3-08"
"10.46","2010-3-05"
"10.49","2010-3-04"
"10.48","2010-3-03"
"10.48","2010-3-02"
"10.48","2010-3-01"
"10.47","2010-2-26"
"10.46","2010-2-25"
"10.44","2010-2-24"
"10.44","2010-2-23"
"10.4","2010-2-22"
"10.4","2010-2-19"
"10.4","2010-2-18"
"10.42","2010-2-17"
"10.45","2010-2-16"
"10.44","2010-2-12"
"10.42","2010-2-11"
"10.43","2010-2-10"
"10.46","2010-2-09"
"10.49","2010-2-08"
"10.5","2010-2-05"
"10.49","2010-2-04"
"10.45","2010-2-03"
"10.47","2010-2-02"
"10.46","2010-2-01"
"10.48","2010-1-29"
"10.46","2010-1-28"
"10.46","2010-1-27"
"10.47","2010-1-26"
"10.46","2010-1-25"
"10.48","2010-1-22"
"10.48","2010-1-21"
"10.46","2010-1-20"
"10.44","2010-1-19"
"10.45","2010-1-15"
"10.43","2010-1-14"
"10.41","2010-1-13"
"10.43","2010-1-12"
"10.39","2010-1-11"
"10.39","2010-1-08"
"10.38","2010-1-07"
"10.38","2010-1-06"
"10.4","2010-1-05"
"10.36","2010-1-04"
"10.35","2009-12-31"
"10.37","2009-12-30"
"10.36","2009-12-29"
"10.35","2009-12-28"
"10.36","2009-12-24"
"10.39","2009-12-23"
"10.39","2009-12-22"
"10.42","2009-12-21"
"10.47","2009-12-18"
"10.49","2009-12-17"
"10.44","2009-12-16"
"10.44","2009-12-15"
"10.46","2009-12-14"
"10.46","2009-12-11"
"10.48","2009-12-10"
"10.5","2009-12-09"
"10.5","2009-12-08"
"10.49","2009-12-07"
"10.47","2009-12-04"
"10.5","2009-12-03"
"10.52","2009-12-02"
"10.53","2009-12-01"
"10.56","2009-11-30"
"10.55","2009-11-27"
"10.54","2009-11-25"
"10.52","2009-11-24"
"10.5","2009-11-23"
"10.5","2009-11-20"
"10.5","2009-11-19"
"10.49","2009-11-18"
"10.51","2009-11-17"
"10.5","2009-11-16"
"10.47","2009-11-13"
"10.46","2009-11-12"
"10.45","2009-11-11"
"10.44","2009-11-10"
"10.44","2009-11-09"
"10.43","2009-11-06"
"10.42","2009-11-05"
"10.41","2009-11-04"
"10.42","2009-11-03"
"10.44","2009-11-02"
"10.45","2009-10-30"
"10.41","2009-10-29"
"10.43","2009-10-28"
"10.41","2009-10-27"
"10.37","2009-10-26"
"10.4","2009-10-23"
"10.42","2009-10-22"
"10.43","2009-10-21"
"10.45","2009-10-20"
"10.43","2009-10-19"
"10.42","2009-10-16"
"10.4","2009-10-15"
"10.42","2009-10-14"
"10.45","2009-10-13"
"10.44","2009-10-12"
"10.42","2009-10-09"
"10.47","2009-10-08"
"10.49","2009-10-07"
"10.45","2009-10-06"
"10.47","2009-10-05"
"10.46","2009-10-02"
"10.47","2009-10-01"
"10.44","2009-9-30"
"10.44","2009-9-29"
"10.44","2009-9-28"
"10.43","2009-9-25"
"10.42","2009-9-24"
"10.4","2009-9-23"
"10.39","2009-9-22"
"10.38","2009-9-21"
"10.38","2009-9-18"
"10.4","2009-9-17"
"10.37","2009-9-16"
"10.37","2009-9-15"
"10.37","2009-9-14"
"10.4","2009-9-11"
"10.39","2009-9-10"
"10.35","2009-9-09"
"10.35","2009-9-08"
"10.35","2009-9-04"
"10.38","2009-9-03"
"10.4","2009-9-02"
"10.37","2009-9-01"
"10.35","2009-8-31"
"10.34","2009-8-28"
"10.32","2009-8-27"
"10.33","2009-8-26"
"10.33","2009-8-25"
"10.31","2009-8-24"
"10.28","2009-8-21"
"10.33","2009-8-20"
"10.31","2009-8-19"
"10.3","2009-8-18"
"10.32","2009-8-17"
"10.29","2009-8-14"
"10.28","2009-8-13"
"10.23","2009-8-12"
"10.24","2009-8-11"
"10.21","2009-8-10"
"10.17","2009-8-07"
"10.21","2009-8-06"
"10.2","2009-8-05"
"10.23","2009-8-04"
"10.24","2009-8-03"
"10.28","2009-7-31"
"10.23","2009-7-30"
"10.2","2009-7-29"
"10.19","2009-7-28"
"10.17","2009-7-27"
"10.19","2009-7-24"
"10.17","2009-7-23"
"10.23","2009-7-22"
"10.25","2009-7-21"
"10.19","2009-7-20"
"10.17","2009-7-17"
"10.2","2009-7-16"
"10.16","2009-7-15"
"10.22","2009-7-14"
"10.24","2009-7-13"
"10.26","2009-7-10"
"10.23","2009-7-09"
"10.26","2009-7-08"
"10.21","2009-7-07"
"10.19","2009-7-06"
"10.19","2009-7-02"
"10.17","2009-7-01"
"10.17","2009-6-30"
"10.18","2009-6-29"
"10.17","2009-6-26"
"10.16","2009-6-25"
"10.1","2009-6-24"
"10.12","2009-6-23"
"10.11","2009-6-22"
"10.08","2009-6-19"
"10.05","2009-6-18"
"10.12","2009-6-17"
"10.12","2009-6-16"
"10.09","2009-6-15"
"10.06","2009-6-12"
"10.02","2009-6-11"
"9.99","2009-6-10"
"10.02","2009-6-09"
"10","2009-6-08"
"10.02","2009-6-05"
"10.09","2009-6-04"
"10.14","2009-6-03"
"10.1","2009-6-02"
"10.08","2009-6-01"
"10.15","2009-5-29"
"10.08","2009-5-28"
"10.06","2009-5-27"
"10.11","2009-5-26"
"10.14","2009-5-22"
"10.15","2009-5-21"
"10.18","2009-5-20"
"10.15","2009-5-19"
"10.15","2009-5-18"
"10.18","2009-5-15"
"10.18","2009-5-14"
"10.19","2009-5-13"
"10.16","2009-5-12"
"10.15","2009-5-11"
"10.11","2009-5-08"
"10.1","2009-5-07"
"10.13","2009-5-06"
